"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Wójt Gminy Radgoszcz";1;"BĄCZEK Jerzy Janusz";"KOMITET WYBORCZY WYBORCÓW JERZEGO BĄCZKA";"KWW JERZEGO BĄCZKA";66;"wyższe";"Luszowice";"120406";"gm. Radgoszcz";"";"nie należy do partii politycznej";;;;"gm. Radgoszcz";"120406";"Mężczyzna";
"Wójt Gminy Radgoszcz";2;"FIJAŁ Andrzej";"KOMITET WYBORCZY WYBORCÓW NOWA DROGA";"KWW NOWA DROGA";57;"wyższe";"Radgoszcz";"120406";"gm. Radgoszcz";"popierany przez partię polityczną: Prawo i Sprawiedliwość";"nie należy do partii politycznej";;;;"gm. Radgoszcz";"120406";"Mężczyzna";
"Wójt Gminy Radgoszcz";3;"KOPIA Marek";"KOMITET WYBORCZY WYBORCÓW PRAWICA POWIŚLA DĄBROWSKIEGO";"KWW PRAWICA POWIŚLA DĄBROWSKIEGO";61;"wyższe";"Radgoszcz";"120406";"gm. Radgoszcz";"";"nie należy do partii politycznej";;;;"gm. Radgoszcz";"120406";"Mężczyzna";
"Wójt Gminy Radgoszcz";4;"ŻURAWSKI Wiesław";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";51;"wyższe";"Luszowice";"120406";"gm. Radgoszcz";"";"członek partii politycznej: Polskie Stronnictwo Ludowe";;;;"gm. Radgoszcz";"120406";"Mężczyzna";
"Burmistrz Szczucina";1;"BEKER Agnieszka";"KOMITET WYBORCZY WYBORCÓW AGNIESZKI BEKER";"KWW AGNIESZKI BEKER";47;"wyższe";"Szczucin";"120407";"gm. Szczucin";"";"nie należy do partii politycznej";;;;"gm. Szczucin";"120407";"Kobieta";
"Burmistrz Szczucina";2;"BEŁZOWSKI Tomasz Piotr";"KOMITET WYBORCZY WYBORCÓW TOMASZA BEŁZOWSKIEGO";"KWW TOMASZA BEŁZOWSKIEGO";46;"wyższe";"Szczucin";"120407";"gm. Szczucin";"";"nie należy do partii politycznej";;;;"gm. Szczucin";"120407";"Mężczyzna";
"Burmistrz Szczucina";3;"ŁABUZ Paweł Robert";"KOMITET WYBORCZY WYBORCÓW PAWŁA ŁABUZA";"KWW PAWŁA ŁABUZA";32;"wyższe";"Maniów";"120407";"gm. Szczucin";"";"nie należy do partii politycznej";;;;"gm. Szczucin";"120407";"Mężczyzna";
"Burmistrz Miasta Gorlice";1;"KUKLA Rafał Tomasz";"KOMITET WYBORCZY WSPÓLNE GORLICE";"KW WSPÓLNE GORLICE";42;"wyższe";"Gorlice";"120501";"m. Gorlice";"";"członek partii politycznej: Nowa Lewica";;;;"m. Gorlice";"120501";"Mężczyzna";
"Burmistrz Miasta Gorlice";2;"MIKRUTA-KAWA Beata";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";53;"wyższe";"Gorlice";"120501";"m. Gorlice";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"m. Gorlice";"120501";"Kobieta";
"Burmistrz Biecza";1;"TUMIDAJEWICZ Iwona Agnieszka";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";48;"średnie";"Libusza";"120502";"gm. Biecz";"";"członek partii politycznej: Polskie Stronnictwo Ludowe";;;;"gm. Biecz";"120502";"Kobieta";
"Burmistrz Biecza";2;"WĘDRYCHOWICZ Mirosław Józef";"KOMITET WYBORCZY WYBORCÓW MAŁOPOLSKI RUCH SAMORZĄDOWY ZIEMI GORLICKIEJ";"KWW MRSZG";63;"wyższe";"Biecz";"120502";"gm. Biecz";"";"nie należy do partii politycznej";;;;"gm. Biecz";"120502";"Mężczyzna";
"Burmistrz Bobowej";1;"LIGĘZA Wacław Jan";"KOMITET WYBORCZY WYBORCÓW WACŁAWA LIGĘZY";"KWW WACŁAWA LIGĘZY";65;"wyższe";"Wilczyska";"120503";"gm. Bobowa";"";"nie należy do partii politycznej";;;;"gm. Bobowa";"120503";"Mężczyzna";
