"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Burmistrz Gogolina";3;"REINERT Krzysztof";"KOMITET WYBORCZY WYBORCÓW PARTNERSTWO";"KWW PARTNERSTWO";45;"wyższe";"Malnia";"160501";"gm. Gogolin";"";"nie należy do partii politycznej";;;;"gm. Gogolin";"160501";"Mężczyzna";
"Burmistrz Krapkowic";1;"KASIURA Andrzej";"KOMITET WYBORCZY WYBORCÓW „DLA KRAPKOWIC”";"KWW DLA KRAPKOWIC";54;"wyższe";"Krapkowice";"160502";"gm. Krapkowice";"";"nie należy do partii politycznej";;;;"gm. Krapkowice";"160502";"Mężczyzna";
"Burmistrz Krapkowic";2;"OPIOŁA Denis Łukasz";"KOMITET WYBORCZY WYBORCÓW DENISA OPIOŁY";"KWW DENISA OPIOŁY";32;"wyższe";"Krapkowice";"160502";"gm. Krapkowice";"";"nie należy do partii politycznej";;;;"gm. Krapkowice";"160502";"Mężczyzna";
"Burmistrz Krapkowic";3;"SONIK Maciej Ryszard";"KOMITET WYBORCZY WYBORCÓW MACIEJA SONIKA";"KWW MACIEJA SONIKA";51;"wyższe administracyjne";"Krapkowice";"160502";"gm. Krapkowice";"";"nie należy do partii politycznej";;;;"gm. Krapkowice";"160502";"Mężczyzna";
"Burmistrz Strzeleczek";1;"KŁOŚ Tomasz Wojciech";"KOMITET WYBORCZY WYBORCÓW PARTNERSTWO";"KWW PARTNERSTWO";49;"wyższe";"Łowkowice";"160503";"gm. Strzeleczki";"";"nie należy do partii politycznej";;;;"gm. Strzeleczki";"160503";"Mężczyzna";
"Burmistrz Strzeleczek";2;"PIETRUSZKA Marek Jan";"KOMITET WYBORCZY WYBORCÓW MARKA PIETRUSZKI";"KWW MARKA PIETRUSZKI";43;"wyższe ekonomiczne";"Smolarnia";"160503";"gm. Strzeleczki";"";"nie należy do partii politycznej";;;;"gm. Strzeleczki";"160503";"Mężczyzna";
"Burmistrz Strzeleczek";3;"PUDA Mariola";"KOMITET WYBORCZY  „POZYTYWNI” - KLUB MYŚLI SPOŁECZNEJ INICJATYWY";"KW POZYTYWNI";44;"wyższe";"Smolarnia";"160503";"gm. Strzeleczki";"";"nie należy do partii politycznej";;;;"gm. Strzeleczki";"160503";"Kobieta";
"Wójt Gminy Walce";1;"MICZKA Rafał Józef";"KOMITET WYBORCZY WYBORCÓW PARTNERSTWO";"KWW PARTNERSTWO";50;"wyższe";"Żużela";"160502";"gm. Krapkowice";"";"nie należy do partii politycznej";;;;"gm. Walce";"160504";"Mężczyzna";
"Wójt Gminy Walce";2;"NOWAK Monika";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";38;"wyższe";"Walce";"160504";"gm. Walce";"";"nie należy do partii politycznej";;;;"gm. Walce";"160504";"Kobieta";
"Burmistrz Zdzieszowic";1;"AMBROŻY Małgorzata Ewa";"KOMITET WYBORCZY WYBORCÓW MAŁGORZATY AMBROŻY";"KWW MAŁGORZATY AMBROŻY";64;"wyższe";"Zdzieszowice";"160505";"gm. Zdzieszowice";"popierana przez partię polityczną: Platforma Obywatelska RP";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Zdzieszowice";"160505";"Kobieta";
"Burmistrz Zdzieszowic";2;"GASZ Artur";"KOMITET WYBORCZY WYBORCÓW PARTNERSTWO";"KWW PARTNERSTWO";54;"wyższe techniczne";"Zdzieszowice";"160505";"gm. Zdzieszowice";"";"nie należy do partii politycznej";;;;"gm. Zdzieszowice";"160505";"Mężczyzna";
"Burmistrz Zdzieszowic";3;"GIDEL Sylwester Konrad";"KOMITET WYBORCZY WYBORCÓW SYLWESTRA GIDLA";"KWW SYLWESTRA GIDLA";48;"średnie";"Zdzieszowice";"160505";"gm. Zdzieszowice";"";"nie należy do partii politycznej";;;;"gm. Zdzieszowice";"160505";"Mężczyzna";
"Burmistrz Zdzieszowic";4;"HARĘŻA Bożena";"KOMITET WYBORCZY WYBORCÓW MACIEJA SONIKA";"KWW MACIEJA SONIKA";52;"średnie";"Krępna";"160505";"gm. Zdzieszowice";"";"nie należy do partii politycznej";;;;"gm. Zdzieszowice";"160505";"Kobieta";
"Wójt Gminy Domaszowice";1;"DŁUBAK Tomasz Aleksander";"KOMITET WYBORCZY WYBORCÓW PAKT SAMORZĄDOWY TOMASZA DŁUBAKA";"KWW PAKT SAMORZĄDOWY TOMASZA DŁUBAKA";44;"wyższe";"Namysłów";"160602";"gm. Namysłów";"";"członek partii politycznej: Nowa Lewica";;;;"gm. Domaszowice";"160601";"Mężczyzna";
"Wójt Gminy Domaszowice";2;"KOTARSKI Zenon";"KOMITET WYBORCZY PRZYJAZNY SAMORZĄD POWIATU NAMYSŁOWSKIEGO";"KW PRZYJAZNY SAMORZĄD";71;"wyższe";"Domaszowice";"160601";"gm. Domaszowice";"";"nie należy do partii politycznej";;;;"gm. Domaszowice";"160601";"Mężczyzna";
"Wójt Gminy Domaszowice";3;"MEDYK Urszula Teresa";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";73;"wyższe";"Strzelce";"160601";"gm. Domaszowice";"";"nie należy do partii politycznej";;;;"gm. Domaszowice";"160601";"Kobieta";
"Burmistrz Namysłowa";1;"BILIŃSKI Marcin Jan";"KOMITET WYBORCZY PRZYJAZNY SAMORZĄD POWIATU NAMYSŁOWSKIEGO";"KW PRZYJAZNY SAMORZĄD";35;"wyższe";"Woskowice Małe";"160602";"gm. Namysłów";"";"nie należy do partii politycznej";;;;"gm. Namysłów";"160602";"Mężczyzna";
"Burmistrz Namysłowa";2;"FIOR Jacek Piotr";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";47;"wyższe";"Namysłów";"160602";"gm. Namysłów";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Namysłów";"160602";"Mężczyzna";
"Burmistrz Namysłowa";3;"OCHĘDZAN Jacek Igor";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA JACEK OCHĘDZAN INICJATYWA LOKALNA";"KWW KONFEDERACJA OCHĘDZAN INICJATYWA LOKALNA";51;"wyższe";"Namysłów";"160602";"gm. Namysłów";"";"nie należy do partii politycznej";;;;"gm. Namysłów";"160602";"Mężczyzna";
"Burmistrz Namysłowa";4;"STAWIARSKI Bartłomiej Eugeniusz";"KOMITET WYBORCZY WYBORCÓW STAWIARSKI BARTŁOMIEJ - AKTYWNY SAMORZĄD";"KWW STAWIARSKI BARTŁOMIEJ-AKTYWNY SAMORZĄD";44;"wyższe";"Namysłów";"160602";"gm. Namysłów";"popierany przez partię polityczną: Prawo i Sprawiedliwość";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Namysłów";"160602";"Mężczyzna";
"Burmistrz Namysłowa";5;"WICIAK Tomasz Paweł";"KOMITET WYBORCZY WYBORCÓW TRZECIA DROGA ZIEMIA NAMYSŁOWSKA";"KWW TRZECIA DROGA ZN";36;"wyższe";"Kowalowice";"160602";"gm. Namysłów";"";"członek partii politycznej: Polskie Stronnictwo Ludowe";;;;"gm. Namysłów";"160602";"Mężczyzna";
"Wójt Gminy Pokój";1;"KRYSTOSEK Tomasz Piotr";"KOMITET WYBORCZY WYBORCÓW TOMASZ KRYSTOSEK - KANDYDAT NA WÓJTA";"KWW TOMASZ KRYSTOSEK - KANDYDAT NA WÓJTA";43;"wyższe magisterskie";"Kopalina";"160603";"gm. Pokój";"";"nie należy do partii politycznej";;;;"gm. Pokój";"160603";"Mężczyzna";
"Wójt Gminy Pokój";2;"ZAJĄC Barbara";"KOMITET WYBORCZY STOWARZYSZENIE POKÓJ ORGANIZACJA POŻYTKU PUBLICZNEGO";"KW STOWARZYSZENIE POKÓJ OPP";66;"wyższe";"Pokój";"160603";"gm. Pokój";"";"członek partii politycznej: Polskie Stronnictwo Ludowe";;;;"gm. Pokój";"160603";"Kobieta";
"Wójt Gminy Świerczów";1;"BEDNARZ Barbara Alina";"KOMITET WYBORCZY WSPÓLNOTA OBYWATELSKA 2006";"KW WSPÓLNOTA OBYWATELSKA 2006";54;"wyższe";"Gola";"160604";"gm. Świerczów";"";"nie należy do partii politycznej";;;;"gm. Świerczów";"160604";"Kobieta";
"Wójt Gminy Świerczów";2;"ZAJĄC Cezary Jan";"KOMITET WYBORCZY PRZYJAZNY SAMORZĄD POWIATU NAMYSŁOWSKIEGO";"KW PRZYJAZNY SAMORZĄD";63;"wyższe";"Bąkowice";"160604";"gm. Świerczów";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Świerczów";"160604";"Mężczyzna";
"Wójt Gminy Wilków";1;"HUBICKI Grzegorz Józef";"KOMITET WYBORCZY PRZYJAZNY SAMORZĄD POWIATU NAMYSŁOWSKIEGO";"KW PRZYJAZNY SAMORZĄD";39;"wyższe";"Jakubowice";"160605";"gm. Wilków";"";"nie należy do partii politycznej";;;;"gm. Wilków";"160605";"Mężczyzna";
"Wójt Gminy Wilków";2;"MARSZAŁEK Irena Stefania";"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNY IRENY MARSZAŁEK";"KWW NIEZALEŻNY IRENY MARSZAŁEK";66;"wyższe";"Bukowie";"160605";"gm. Wilków";"";"nie należy do partii politycznej";;;;"gm. Wilków";"160605";"Kobieta";
"Wójt Gminy Wilków";3;"ZDYB Bogdan Franciszek";"KOMITET WYBORCZY WYBORCÓW TRZECIA DROGA ZIEMIA NAMYSŁOWSKA";"KWW TRZECIA DROGA ZN";60;"wyższe";"Pągów";"160605";"gm. Wilków";"";"nie należy do partii politycznej";;;;"gm. Wilków";"160605";"Mężczyzna";
"Burmistrz Głuchołaz";1;"BILIŃSKI Szymon Michał";"KOMITET WYBORCZY WYBORCÓW TAK! DLA GMINY GŁUCHOŁAZY";"KWW TAK! DLA GMINY GŁUCHOŁAZY";25;"wyższe";"Nowy Świętów";"160701";"gm. Głuchołazy";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Głuchołazy";"160701";"Mężczyzna";
"Burmistrz Głuchołaz";2;"KANARSKI Przemysław Zygmunt";"KOMITET WYBORCZY WYBORCÓW PRZEMYSŁAW KANARSKI";"KWW PRZEMYSŁAW KANARSKI";38;"wyższe";"Głuchołazy";"160701";"gm. Głuchołazy";"";"nie należy do partii politycznej";;;;"gm. Głuchołazy";"160701";"Mężczyzna";
"Burmistrz Głuchołaz";3;"SAMBOR Roman Adam";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";56;"wyższe - techniczne";"Głuchołazy";"160701";"gm. Głuchołazy";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Głuchołazy";"160701";"Mężczyzna";
"Burmistrz Głuchołaz";4;"SZYMKOWICZ Paweł Andrzej";"KOMITET WYBORCZY WYBORCÓW PAWŁA SZYMKOWICZA";"KWW PAWŁA SZYMKOWICZA";53;"wyższe";"Głuchołazy";"160701";"gm. Głuchołazy";"";"nie należy do partii politycznej";;;;"gm. Głuchołazy";"160701";"Mężczyzna";
"Wójt Gminy Kamiennik";1;"CEBRAT Kazimierz";"KOMITET WYBORCZY STOWARZYSZENIE „FORUM SAMORZĄDOWE 2002”";"KW STOWARZYSZENIE FORUM SAMORZĄDOWE 2002";71;"średnie";"Szklary";"160702";"gm. Kamiennik";"";"nie należy do partii politycznej";;;;"gm. Kamiennik";"160702";"Mężczyzna";
"Wójt Gminy Kamiennik";2;"MORAWSKI Remigiusz Damian";"KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY KAMIENNIK";"KWW RAZEM DLA GMINY KAMIENNIK";49;"wyższe";"Lipniki";"160702";"gm. Kamiennik";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Kamiennik";"160702";"Mężczyzna";
"Wójt Gminy Kamiennik";3;"OLEKSY-CZAK Natalia Joanna";"KOMITET WYBORCZY WYBORCÓW LIGA POWIATU NYSKIEGO";"KWW LIGA POWIATU NYSKIEGO";39;"średnie";"Kamiennik";"160702";"gm. Kamiennik";"";"nie należy do partii politycznej";;;;"gm. Kamiennik";"160702";"Kobieta";
"Wójt Gminy Kamiennik";4;"STEFANOWICZ-CIECIELĄG Beata";"KOMITET WYBORCZY WYBORCÓW LEPSZA GMINA";"KWW LEPSZA GMINA";54;"wyższe";"Kamiennik";"160702";"gm. Kamiennik";"";"nie należy do partii politycznej";;;;"gm. Kamiennik";"160702";"Kobieta";
"Wójt Gminy Kamiennik";5;"TORBUS Andrzej Stanisław";"KOMITET WYBORCZY  „POZYTYWNI” - KLUB MYŚLI SPOŁECZNEJ INICJATYWY";"KW POZYTYWNI";37;"wyższe";"Kamiennik";"160702";"gm. Kamiennik";"";"nie należy do partii politycznej";;;;"gm. Kamiennik";"160702";"Mężczyzna";
"Burmistrz Korfantowa";1;"WÓJCIK Janusz Kazimierz";"KOMITET WYBORCZY STOWARZYSZENIE „FORUM SAMORZĄDOWE 2002”";"KW STOWARZYSZENIE FORUM SAMORZĄDOWE 2002";59;"wyższe";"Mańkowice";"160704";"gm. Łambinowice";"";"nie należy do partii politycznej";;;;"gm. Korfantów";"160703";"Mężczyzna";
"Wójt Gminy Łambinowice";1;"CIESIELSKI Marek Piotr";"KOMITET WYBORCZY WYBORCÓW NOWA PERSPEKTYWA";"KWW NOWA PERSPEKTYWA";65;"średnie";"Łambinowice";"160704";"gm. Łambinowice";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Łambinowice";"160704";"Mężczyzna";
"Wójt Gminy Łambinowice";2;"KARPIŃSKI Tomasz Włodzimierz";"KOMITET WYBORCZY WYBORCÓW „WSPÓLNA SPRAWA”";"KWW „WSPÓLNA SPRAWA”";62;"wyższe";"Łambinowice";"160704";"gm. Łambinowice";"";"nie należy do partii politycznej";;;;"gm. Łambinowice";"160704";"Mężczyzna";
"Wójt Gminy Łambinowice";3;"TARATUTA Tomasz Paweł";"KOMITET WYBORCZY WYBORCÓW WOLNA GMINA";"KWW WOLNA GMINA";37;"wyższe";"Łambinowice";"160704";"gm. Łambinowice";"";"nie należy do partii politycznej";;;;"gm. Łambinowice";"160704";"Mężczyzna";
"Burmistrz Nysy";1;"FITOWSKI Piotr Paweł";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";33;"wyższe";"Biała Nyska";"160705";"gm. Nysa";"";"członek partii politycznej: Polska 2050 Szymona Hołowni";;;;"gm. Nysa";"160705";"Mężczyzna";
"Burmistrz Nysy";2;"KOLBIARZ Kordian Jan";"KOMITET WYBORCZY WYBORCÓW KORDIANA KOLBIARZA";"KWW KORDIANA KOLBIARZA";53;"wyższe";"Nysa";"160705";"gm. Nysa";"";"nie należy do partii politycznej";;;;"gm. Nysa";"160705";"Mężczyzna";
"Burmistrz Nysy";3;"KUGLARZ Arkadiusz Jerzy";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";49;"wyższe";"Nysa";"160705";"gm. Nysa";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Nysa";"160705";"Mężczyzna";
"Burmistrz Nysy";4;"LICHNOWSKA Celina Barbara";"KOMITET WYBORCZY WYBORCÓW CELINY LICHNOWSKIEJ - ŁĄCZY NAS NYSA";"KWW CELINY LICHNOWSKIEJ";55;"wyższe";"Nysa";"160705";"gm. Nysa";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Nysa";"160705";"Kobieta";
"Burmistrz Nysy";5;"STADNIK Andrzej";"KOMITET WYBORCZY WYBORCÓW TRADYCJA ROZWÓJ NOWOCZESNOŚĆ";"KWW TRADYCJA ROZWÓJ NOWOCZESNOŚĆ";49;"wyższe";"Nysa";"160705";"gm. Nysa";"";"nie należy do partii politycznej";;;;"gm. Nysa";"160705";"Mężczyzna";
"Burmistrz Miasta i Gminy Otmuchów";1;"NOWAKOWSKI Damian Sławomir";"KOMITET WYBORCZY WYBORCÓW DAMIANA NOWAKOWSKIEGO";"KWW DAMIANA NOWAKOWSKIEGO";47;"wyższe";"Otmuchów";"160706";"gm. Otmuchów";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Otmuchów";"160706";"Mężczyzna";
"Burmistrz Miasta i Gminy Otmuchów";2;"WOŹNIAK Jan Franciszek";"KOMITET WYBORCZY WYBORCÓW JANA WOŹNIAKA";"KWW JANA WOŹNIAKA";70;"wyższe rolnicze";"Otmuchów";"160706";"gm. Otmuchów";"";"członek partii politycznej: Nowa Lewica";;;;"gm. Otmuchów";"160706";"Mężczyzna";
"Burmistrz Miasta i Gminy Otmuchów";3;"ZIĘBA Łukasz Jan";"KOMITET WYBORCZY LOKALNY RUCH SPOŁECZNY";"KW LOKALNY RUCH SPOŁECZNY";33;"wyższe";"Maciejowice";"160706";"gm. Otmuchów";"";"nie należy do partii politycznej";;;;"gm. Otmuchów";"160706";"Mężczyzna";
"Burmistrz Gminy Paczków";1;"ROLKA Artur Piotr";"KOMITET WYBORCZY WYBORCÓW ARTURA ROLKI";"KWW ARTURA ROLKI";47;"wyższe ekonomiczne";"Paczków";"160707";"gm. Paczków";"";"nie należy do partii politycznej";;;;"gm. Paczków";"160707";"Mężczyzna";
"Wójt Gminy Pakosławice";1;"BERINI Marek Andrzej";"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI";"KWWN";44;"wyższe";"Biechów";"160708";"gm. Pakosławice";"";"nie należy do partii politycznej";;;;"gm. Pakosławice";"160708";"Mężczyzna";
"Wójt Gminy Pakosławice";2;"RACZYŃSKI Adam Piotr";"KOMITET WYBORCZY  „POZYTYWNI” - KLUB MYŚLI SPOŁECZNEJ INICJATYWY";"KW POZYTYWNI";37;"wyższe";"Reńska Wieś";"160708";"gm. Pakosławice";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Pakosławice";"160708";"Mężczyzna";
"Wójt Gminy Pakosławice";3;"STALIŚ Rafał Grzegorz";"KOMITET WYBORCZY WYBORCÓW RAFAŁA STALIŚ";"KWW RAFAŁA STALIŚ";40;"wyższe";"Prusinowice";"160708";"gm. Pakosławice";"";"nie należy do partii politycznej";;;;"gm. Pakosławice";"160708";"Mężczyzna";
"Wójt Gminy Pakosławice";4;"WDOWIKOWSKA Natalia Paulina";"KOMITET WYBORCZY WYBORCÓW NATALII WDOWIKOWSKIEJ";"KWW NATALII WDOWIKOWSKIEJ";36;"wyższe";"Pakosławice";"160708";"gm. Pakosławice";"";"nie należy do partii politycznej";;;;"gm. Pakosławice";"160708";"Kobieta";
"Wójt Gminy Skoroszyce";1;"DYBCZAK Barbara Alicja";"KOMITET WYBORCZY WYBORCÓW BARBARY DYBCZAK";"KWW BARBARY DYBCZAK";67;"wyższe";"Sidzina";"160709";"gm. Skoroszyce";"";"nie należy do partii politycznej";;;;"gm. Skoroszyce";"160709";"Kobieta";
"Wójt Gminy Skoroszyce";2;"JASTRZĄB Jarosław Dominik";"KOMITET WYBORCZY WYBORCÓW JAROSŁAW JASTRZĄB";"KWW JAROSŁAW JASTRZĄB";50;"wyższe";"Makowice";"160709";"gm. Skoroszyce";"";"nie należy do partii politycznej";;;;"gm. Skoroszyce";"160709";"Mężczyzna";
"Wójt Gminy Skoroszyce";3;"OSTACHOWSKA-BŁOCH Marzena Lucyna";"KOMITET WYBORCZY  „POZYTYWNI” - KLUB MYŚLI SPOŁECZNEJ INICJATYWY";"KW POZYTYWNI";49;"wyższe";"Chróścina";"160709";"gm. Skoroszyce";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Skoroszyce";"160709";"Kobieta";
"Burmistrz Dobrodzienia";1;"HURNIK Agnieszka Renata";"KOMITET WYBORCZY WYBORCÓW AGNIESZKI HURNIK";"KWW AGNIESZKI HURNIK";49;"wyższe";"Kolejka";"160801";"gm. Dobrodzień";"";"nie należy do partii politycznej";;;;"gm. Dobrodzień";"160801";"Kobieta";
"Burmistrz Dobrodzienia";2;"JASIŃSKI Andrzej Ryszard";"KOMITET WYBORCZY WYBORCÓW NOWY DOBRODZIEŃ";"KWW NOWY DOBRODZIEŃ";50;"wyższe";"Dobrodzień";"160801";"gm. Dobrodzień";"";"nie należy do partii politycznej";;;;"gm. Dobrodzień";"160801";"Mężczyzna";
"Burmistrz Gorzowa Śląskiego";1;"KOTARSKI Rafał Janusz";"KOMITET WYBORCZY WYBORCÓW RAFAŁA KOTARSKIEGO „WSPÓŁPRACA”";"KWW WSPÓŁPRACA";41;"średnie";"Gorzów Śląski";"160802";"gm. Gorzów Śląski";"";"nie należy do partii politycznej";;;;"gm. Gorzów Śląski";"160802";"Mężczyzna";
"Burmistrz Olesna";1;"GRĘDA Piotr Stanisław";"KOMITET WYBORCZY WYBORCÓW OOL-NASZE OLESKIE";"KWW OOL-NASZE OLESKIE";47;"wyższe";"Olesno";"160803";"gm. Olesno";"";"nie należy do partii politycznej";;;;"gm. Olesno";"160803";"Mężczyzna";
"Burmistrz Olesna";2;"LEWICKI Sylwester Piotr";"KOMITET WYBORCZY WYBORCÓW ZIEMIA OLESKA - NASZA PRZYSZŁOŚĆ";"KWW ZIEMIA OLESKA";65;"wyższe";"Olesno";"160803";"gm. Olesno";"";"nie należy do partii politycznej";;;;"gm. Olesno";"160803";"Mężczyzna";
"Burmistrz Olesna";3;"WIECZOREK Monika";"KOMITET WYBORCZY WYBORCÓW AUTOBUSY, DOŚĆ PODATKU ZA LISWARTĘ";"KWW AUTOBUSY, DOŚĆ PODATKU ZA LISWARTĘ";43;"wyższe";"Bodzanowice";"160803";"gm. Olesno";"";"nie należy do partii politycznej";;;;"gm. Olesno";"160803";"Kobieta";
"Burmistrz Praszki";1;"BILSKI Łukasz Damian";"KOMITET WYBORCZY WYBORCÓW ŁUKASZA DAMIANA BILSKIEGO";"KWW ŁUKASZA DAMIANA BILSKIEGO";39;"wyższe ekonomiczne";"Praszka";"160804";"gm. Praszka";"";"nie należy do partii politycznej";;;;"gm. Praszka";"160804";"Mężczyzna";
"Burmistrz Praszki";2;"GRYGIEL Leszek Marek";"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY PRASZKA";"KWW WSPÓLNIE DLA GMINY PRASZKA";40;"wyższe";"Skotnica";"160804";"gm. Praszka";"";"członek partii politycznej: PiS";;;;"gm. Praszka";"160804";"Mężczyzna";
"Burmistrz Praszki";3;"KARLAK-BARTKOWSKA Agnieszka";"KOMITET WYBORCZY WYBORCÓW AGNIESZKI KARLAK-BARTKOWSKIEJ „NOWA ENERGIA DLA GMINY”";"KWW NOWA ENERGIA DLA GMINY";46;"wyższe";"Szyszków";"160804";"gm. Praszka";"";"nie należy do partii politycznej";;;;"gm. Praszka";"160804";"Kobieta";
"Burmistrz Praszki";4;"STOCHNIAŁEK Włodzimierz";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";50;"wyższe";"Strojec";"160804";"gm. Praszka";"";"nie należy do partii politycznej";;;;"gm. Praszka";"160804";"Mężczyzna";
"Burmistrz Praszki";5;"TKACZYŃSKI Jarosław Wojciech";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";65;"wyższe";"Praszka";"160804";"gm. Praszka";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Praszka";"160804";"Mężczyzna";
"Wójt Gminy Radłów";1;"KIERAT Włodzimierz Stanisław";"KOMITET WYBORCZY WYBORCÓW ŚLĄSCY SAMORZĄDOWCY";"KWW ŚLĄSCY SAMORZĄDOWCY";60;"wyższe";"Ligota Oleska";"160805";"gm. Radłów";"";"nie należy do partii politycznej";;;;"gm. Radłów";"160805";"Mężczyzna";
"Wójt Gminy Radłów";2;"SZOPRUN Justyna Bożena";"KOMITET WYBORCZY WYBORCÓW JUSTYNY SZOPRUN";"KWW JUSTYNY SZOPRUN";45;"wyższe";"Ligota Oleska";"160805";"gm. Radłów";"";"nie należy do partii politycznej";;;;"gm. Radłów";"160805";"Kobieta";
"Wójt Gminy Radłów";3;"ZARĘBA Radosław";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";41;"średnie";"Nowe Karmonki";"160805";"gm. Radłów";"";"nie należy do partii politycznej";;;;"gm. Radłów";"160805";"Mężczyzna";
"Wójt Gminy Rudniki";1;"DOMAŃSKI Grzegorz Roman";"KOMITET WYBORCZY WYBORCÓW GRZEGORZA DOMAŃSKIEGO-WSPÓLNA GMINA";"KWW GRZEGORZA DOMAŃSKIEGO-WSPÓLNA GMINA";60;"wyższe";"Dalachów";"160806";"gm. Rudniki";"";"nie należy do partii politycznej";;;;"gm. Rudniki";"160806";"Mężczyzna";
"Wójt Gminy Rudniki";2;"STANEK Mariusz Michał";"KOMITET WYBORCZY WYBORCÓW AKTYWNI I GOSPODARNI";"KWW AKTYWNI I GOSPODARNI";51;"wyższe";"Jaworek";"160806";"gm. Rudniki";"";"nie należy do partii politycznej";;;;"gm. Rudniki";"160806";"Mężczyzna";
"Wójt Gminy Zębowice";1;"CZAJA Waldemar Andrzej";"KOMITET WYBORCZY WYBORCÓW KOALICJA 15PAŹDZIERNIKA-DZIAŁAMY LOKALNIE";"KWW KOALICJA 15PAŹDZIERNIKA-DZIAŁAMY LOKALNIE";60;"wyższe";"Zębowice";"160807";"gm. Zębowice";"";"nie należy do partii politycznej";;;;"gm. Zębowice";"160807";"Mężczyzna";
"Wójt Gminy Zębowice";2;"SWOBODA Patryk Manfred";"KOMITET WYBORCZY WYBORCÓW ŚLĄSCY SAMORZĄDOWCY";"KWW ŚLĄSCY SAMORZĄDOWCY";25;"średnie";"Zębowice";"160807";"gm. Zębowice";"";"nie należy do partii politycznej";;;;"gm. Zębowice";"160807";"Mężczyzna";
"Wójt Gminy Chrząstowice";1;"CIECIOR Florian Jan";"KOMITET WYBORCZY WYBORCÓW ŚLĄSCY SAMORZĄDOWCY";"KWW ŚLĄSCY SAMORZĄDOWCY";62;"średnie";"Chrząstowice";"160901";"gm. Chrząstowice";"";"nie należy do partii politycznej";;;;"gm. Chrząstowice";"160901";"Mężczyzna";
"Wójt Gminy Dąbrowa";1;"GOŁĘBIOWSKA-JAREK Katarzyna";"KOMITET WYBORCZY WYBORCÓW KATARZYNA GOŁĘBIOWSKA-JAREK";"KWW KATARZYNA GOŁĘBIOWSKA-JAREK";48;"wyższe";"Chróścina";"160902";"gm. Dąbrowa";"";"nie należy do partii politycznej";;;;"gm. Dąbrowa";"160902";"Kobieta";
"Wójt Gminy Dobrzeń Wielki";1;"KOŁBUC Roman Józef";"KOMITET WYBORCZY WYBORCÓW ROMANA KOŁBUCA";"KWW ROMANA KOŁBUCA";51;"wyższe";"Dobrzeń Wielki";"160903";"gm. Dobrzeń Wielki";"";"nie należy do partii politycznej";;;;"gm. Dobrzeń Wielki";"160903";"Mężczyzna";
