"Sejmik";"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat";"Województwo";"TERYT Województwa";"Płeć";"Liczba głosów ważnych oddanych w okręgu"
"Sejmik Województwa Podlaskiego";2;1;9;"OKOŃ Ilona Anna";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";35;"Mikołajewo";"200903";"gm. Krasnopol";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;1;10;"SUPIŃSKI Rafał";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";41;"Oliszki";"200806";"gm. Mońki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;2;1;"DYMKO Łukasz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";34;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;2;2;"STANKIEWICZ Adrian";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";27;"Augustów";"200101";"m. Augustów";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;2;3;"MATULEWICZ-GILEWICZ Justyna";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";65;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;2;4;"KIMSZAL Paweł";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";27;"Lipowo";"201208";"gm. Szypliszki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;2;5;"GODLEWSKA Elżbieta";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";58;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;2;6;"ZAWISTOWSKA Elżbieta";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";53;"Kuźnica";"201105";"gm. Kuźnica";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;2;7;"RADOMSKA Alina";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";57;"Mońki";"200806";"gm. Mońki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;2;8;"POŁONOWSKA Agnieszka";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";35;"Dudki";"200806";"gm. Mońki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;2;9;"SIENKIEWICZ Monika";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";37;"Augustów";"200101";"m. Augustów";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;2;10;"KIRPSZA Piotr";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";34;"Sokółka";"201108";"gm. Sokółka";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;1;"CIEŚLUKOWSKI Cezary";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";62;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;2;"PIEROŻYŃSKI Oktawian";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";40;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;3;"SZCZYGIELSKA Agnieszka";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";51;"Sokółka";"201108";"gm. Sokółka";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;3;4;"WORONKO Katarzyna";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";38;"Sokółka";"201108";"gm. Sokółka";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;3;5;"DYJUK Bogdan";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";63;"Augustów";"200101";"m. Augustów";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;6;"ŁOSIEWICZ Dariusz";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";49;"Mońki";"200806";"gm. Mońki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;7;"DĄBROWSKI Zdzisław";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";66;"Chojnowo";"200807";"gm. Trzcianne";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;8;"PAJĄK Wojciech";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";45;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;3;9;"GNIEDZIEJKO Monika";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";42;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;3;10;"KORONKIEWICZ Barbara";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";55;"Augustów";"200101";"m. Augustów";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;1;"MAŃCZUK Tomasz";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";46;"Lipsk";"200104";"gm. Lipsk";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;4;2;"FALANDYSZ Magdalena";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";43;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;3;"MAŁANOWSKI Wojciech";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";56;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;4;4;"ACEWICZ Maria";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";30;"Sidra";"201107";"gm. Sidra";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;5;"TROCHIMCZYK Sławomir";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";53;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;4;6;"GRYC Elżbieta";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";39;"Michałowo";"200207";"gm. Michałowo";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;7;"GOJ Helena";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";66;"Czarna Białostocka";"200202";"gm. Czarna Białostocka";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;8;"DOROCHOWICZ Emilia";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";37;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;9;"ALEKSIEJCZUK Anna";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";26;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;4;10;"ZYSKOWSKI Alex";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";19;"Hajnówka";"200501";"m. Hajnówka";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;5;1;"NASZKIEWICZ Anna";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";43;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;5;2;"KWATERSKI Waldemar";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";61;"Zaleskie";"200905";"gm. Sejny";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;5;3;"SIEŃKO Adam";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";64;"Augustów";"200101";"m. Augustów";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;5;4;"RAŚ Andrzej";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";62;"Mońki";"200806";"gm. Mońki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;5;5;"PERKOWSKA Aneta Barbara";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";45;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;5;6;"KOTARSKA Agnieszka";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";29;"Płociczno";"201201";"gm. Bakałarzewo";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;5;7;"WIRBAŁ Katarzyna";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";50;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;5;8;"ŚLIWOWSKI Wojciech";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";54;"Zielone Kamedulskie";"201207";"gm. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;5;9;"BOGDAN Anna";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";65;"Kropiwne Stare";"201207";"gm. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;5;10;"JUCHNIK Adam";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";47;"Sokółka";"201108";"gm. Sokółka";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;6;1;"CZARNOWSKA Paulina";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";34;"Czarnowo-Biki";"201306";"gm. Kulesze Kościelne";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;6;2;"SOKOŁOWSKI Kamil";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";32;"Mońki";"200806";"gm. Mońki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;6;3;"CIECIORKO Robert";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";42;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;6;4;"KONDRACIUK Iwona";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";45;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;6;5;"KAMIŃSKI Damian";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";22;"Filipów";"201202";"gm. Filipów";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;6;6;"NASIŁOWSKA Hanna";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";55;"Roszki Leśne";"201308";"gm. Sokoły";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;6;7;"CZARNOWSKA Marta Lidia";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";31;"Czarnowo-Biki";"201306";"gm. Kulesze Kościelne";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;7;1;"WOJTKOWSKA Aneta";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";45;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;7;2;"GOLUBIEWSKA Ewelina";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";30;"Rydzewo";"200404";"gm. Rajgród";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;7;3;"ĆWIKLEWSKI Sebastian";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";44;"Kuźnica";"201105";"gm. Kuźnica";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;7;4;"JUREWICZ Marek";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";47;"Raczki";"201205";"gm. Raczki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;7;5;"HUKAŁOWICZ Patryk";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";28;"Nowodworce";"200213";"gm. Wasilków";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;7;6;"PRUSIŃSKI Łukasz";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";40;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;7;7;"ŚWIRYDOWICZ Mariusz";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";41;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;7;8;"KUNDZIEWICZ Krzysztof";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";48;"Białystok";"206101";"m. Białystok";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;7;9;"MAŁYSZKO Marta";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";28;"Jasionówka";"200802";"gm. Jasionówka";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;7;10;"WIĘCKO Justyna";"KOMITET WYBORCZY WYBORCÓW OBYWATELE DLA OBYWATELI";"KWW OBYWATELE DLA OBYWATELI";36;"Dorożki";"200205";"gm. Juchnowiec Kościelny";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;9;1;"MAJEWSKI Damian";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";22;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;9;2;"MURAWKA Wojciech";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";22;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;9;3;"TARASEWICZ Mateusz";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";24;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;9;4;"LIS Paweł";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";24;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";2;9;5;"ALBOSZTA Weronika";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";20;"Krasnopol";"200903";"gm. Krasnopol";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;9;6;"MAJEWSKA Natalia";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";18;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";2;9;7;"OSEWSKA Beata";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KW PL!SP";22;"Suwałki";"206301";"m. Suwałki";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;1;1;"OLBRYŚ Marek";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";65;"Łomża";"206201";"m. Łomża";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;1;2;"SEKŚCIŃSKI Adam Wojciech";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";42;"Kolno";"200601";"m. Kolno";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;1;3;"MIECZKOWSKA Wanda Elżbieta";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";72;"Grajewo";"200401";"m. Grajewo";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;1;4;"RACIBORSKI Jacek Grzegorz";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";52;"Zambrów";"201401";"m. Zambrów";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;1;5;"GOŁASZEWSKI Grzegorz";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";34;"Nowe Zambrzyce";"201403";"gm. Rutki";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;1;6;"ZALEWSKA Barbara";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";66;"Nowogród";"200704";"gm. Nowogród";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;1;7;"WŁOSTOWSKA Joanna";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";43;"Czarnocin";"200705";"gm. Piątnica";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;1;8;"KRYNICKA Bernadeta";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";53;"Łomża";"206201";"m. Łomża";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;2;1;"KIEŁCZEWSKI Adam";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";45;"Grajewo";"200401";"m. Grajewo";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;2;2;"NOWAKOWSKI Jacek Albin";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";58;"Siemień Nadrzeczny";"200702";"gm. Łomża";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;2;3;"KARWOWSKA Urszula Iwona";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";57;"Łomża";"206201";"m. Łomża";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;2;4;"LITWIŃSKA Natalia";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";23;"Czartosy";"201405";"gm. Zambrów";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;2;5;"SAKOWSKI Łukasz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";27;"Orlikowo";"200701";"gm. Jedwabne";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;2;6;"RUTKOWSKI Edward";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";66;"Kiełcze-Kopki";"200603";"gm. Kolno";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;2;7;"CHOCIANOWICZ Mariusz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";52;"Łomża";"206201";"m. Łomża";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;2;8;"PROSIŃSKA Izabela";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";23;"Zambrów";"201401";"m. Zambrów";"";;;;;"podlaskie";"200000";"Kobieta";
"Sejmik Województwa Podlaskiego";3;3;1;"SOKOŁOWSKI Zbigniew";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";54;"Stare Bożejewo";"200708";"gm. Wizna";"";;;;;"podlaskie";"200000";"Mężczyzna";
"Sejmik Województwa Podlaskiego";3;3;2;"GROCHOWSKI Wojciech";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";52;"Grajewo";"200401";"m. Grajewo";"";;;;;"podlaskie";"200000";"Mężczyzna";
